年	国家	次数
1966	莱索托	1
1966	索马里	1
1966	利比里亚	1
1967	莱索托	1
1967	斯威士兰	1
1967	安哥拉	1
1967	利比里亚	3
1968	索马里	1
1968	利比里亚	2
1969	莱索托	1
1969	索马里	1
1970	莱索托	1
1970	布隆迪	2
1970	安哥拉	1
1970	利比里亚	2
1971	莱索托	1
1971	安哥拉	1
1971	利比里亚	1
1972	莱索托	3
1972	斯威士兰	3
1972	利比里亚	6
1972	乍得	2
1973	莱索托	5
1973	斯威士兰	2
1973	布隆迪	1
1973	安哥拉	8
1973	利比里亚	9
1973	乍得	13
1974	莱索托	5
1974	索马里	2
1974	斯威士兰	2
1974	安哥拉	7
1974	利比里亚	1
1974	乍得	10
1975	莱索托	15
1975	索马里	1
1975	斯威士兰	2
1975	布隆迪	1
1975	安哥拉	7
1975	利比里亚	7
1975	乍得	8
1976	莱索托	12
1976	索马里	3
1976	布隆迪	3
1976	利比里亚	1
1976	乍得	6
1977	莱索托	8
1977	索马里	1
1977	斯威士兰	8
1977	安哥拉	5
1977	塞舌尔	2
1977	利比里亚	6
1977	乍得	6
1978	莱索托	8
1978	索马里	4
1978	斯威士兰	5
1978	布隆迪	1
1978	安哥拉	1
1978	塞舌尔	3
1978	利比里亚	5
1978	乍得	5
1979	莱索托	7
1979	索马里	12
1979	斯威士兰	9
1979	布隆迪	6
1979	安哥拉	1
1979	塞舌尔	9
1979	利比里亚	7
1979	乍得	9
1980	莱索托	7
1980	索马里	15
1980	斯威士兰	13
1980	布隆迪	4
1980	塞舌尔	6
1980	利比里亚	13
1980	乍得	2
1981	莱索托	7
1981	索马里	13
1981	斯威士兰	4
1981	布隆迪	7
1981	安哥拉	1
1981	塞舌尔	3
1981	利比里亚	16
1981	乍得	1
1982	莱索托	16
1982	索马里	3
1982	斯威士兰	7
1982	布隆迪	6
1982	安哥拉	2
1982	塞舌尔	4
1982	利比里亚	4
1982	乍得	1
1983	莱索托	8
1983	索马里	6
1983	斯威士兰	11
1983	布隆迪	4
1983	安哥拉	3
1983	塞舌尔	5
1983	利比里亚	22
1983	乍得	1
1984	莱索托	14
1984	索马里	7
1984	斯威士兰	8
