年	国家	次数
1960	肯尼亚	1
1960	尼日利亚	1
1960	埃及	1
1960	南非	1
1960	乌干达	1
1965	埃及	1
1965	南非	3
1966	阿尔及利亚	2
1966	肯尼亚	12
1966	突尼斯	2
1966	尼日利亚	41
1966	埃塞俄比亚	11
1966	埃及	9
1966	坦桑尼亚	11
1966	南非	46
1966	加纳	14
1966	乌干达	21
1967	阿尔及利亚	1
1967	肯尼亚	18
1967	突尼斯	3
1967	尼日利亚	25
1967	埃塞俄比亚	10
1967	埃及	12
1967	坦桑尼亚	17
1967	南非	35
1967	加纳	18
1967	乌干达	24
1968	阿尔及利亚	2
1968	肯尼亚	14
1968	突尼斯	1
1968	摩洛哥	5
1968	尼日利亚	27
1968	埃塞俄比亚	8
1968	埃及	10
1968	坦桑尼亚	17
1968	喀麦隆	2
1968	南非	50
1968	加纳	19
1968	乌干达	26
1969	阿尔及利亚	1
1969	肯尼亚	17
1969	突尼斯	1
1969	摩洛哥	5
1969	尼日利亚	30
1969	埃塞俄比亚	4
1969	埃及	4
1969	坦桑尼亚	14
1969	喀麦隆	1
1969	南非	46
1969	加纳	20
1969	乌干达	25
1970	阿尔及利亚	1
1970	肯尼亚	26
1970	突尼斯	1
1970	摩洛哥	5
1970	尼日利亚	56
1970	埃塞俄比亚	9
1970	埃及	2
1970	坦桑尼亚	15
1970	南非	129
1970	加纳	26
1970	乌干达	51
1971	阿尔及利亚	8
1971	肯尼亚	19
1971	突尼斯	7
1971	摩洛哥	5
1971	尼日利亚	79
1971	埃塞俄比亚	5
1971	埃及	1
1971	坦桑尼亚	17
1971	喀麦隆	1
1971	南非	105
1971	加纳	30
1971	乌干达	23
1972	阿尔及利亚	15
1972	肯尼亚	33
1972	突尼斯	7
1972	摩洛哥	3
1972	尼日利亚	123
1972	埃塞俄比亚	14
1972	埃及	2
1972	坦桑尼亚	25
1972	喀麦隆	4
1972	南非	217
1972	加纳	37
1972	乌干达	54
1973	阿尔及利亚	74
1973	肯尼亚	187
1973	突尼斯	32
1973	摩洛哥	27
1973	尼日利亚	454
1973	埃塞俄比亚	62
1973	埃及	21
1973	坦桑尼亚	78
1973	喀麦隆	28
1973	南非	1871
1973	加纳	102
1973	乌干达	176
1974	阿尔及利亚	60
1974	肯尼亚	210
1974	突尼斯	43
1974	摩洛哥	31
1974	尼日利亚	543
1974	埃塞俄比亚	55
1974	埃及	23
1974	坦桑尼亚	65
1974	喀麦隆	24
1974	南非	2058
1974	加纳	117
1974	乌干达	113
1975	阿尔及利亚	80
1975	肯尼亚	250
1975	突尼斯	61
1975	摩洛哥	25
1975	尼日利亚	628
1975	埃塞俄比亚	46
1975	埃及	49
1975	坦桑尼亚	87
1975	喀麦隆	27
1975	南非	2092
1975	加纳	91
1975	乌干达	83
1976	阿尔及利亚	42
1976	肯尼亚	219
1976	突尼斯	36
1976	摩洛哥	31
1976	尼日利亚	733
1976	埃塞俄比亚	45
1976	埃及	767
1976	坦桑尼亚	105
1976	喀麦隆	41
1976	南非	2270
1976	加纳	98
1976	乌干达	80
1977	阿尔及利亚	88
1977	肯尼亚	284
1977	突尼斯	73
1977	摩洛哥	47
1977	尼日利亚	951
1977	埃塞俄比亚	46
1977	埃及	1053
1977	坦桑尼亚	123
1977	喀麦隆	37
1977	南非	2951
1977	加纳	104
1977	乌干达	69
1978	阿尔及利亚	90
1978	肯尼亚	305
1978	突尼斯	79
1978	摩洛哥	66
1978	尼日利亚	1048
1978	埃塞俄比亚	52
1978	埃及	1141
1978	坦桑尼亚	102
1978	喀麦隆	32
1978	南非	2909
1978	加纳	88
1978	乌干达	53
1979	阿尔及利亚	70
1979	肯尼亚	307
1979	突尼斯	99
1979	摩洛哥	105
1979	尼日利亚	1120
1979	埃塞俄比亚	63
1979	埃及	1206
1979	坦桑尼亚	87
1979	喀麦隆	48
1979	南非	2955
1979	加纳	81
1979	乌干达	34
1980	阿尔及利亚	111
1980	肯尼亚	322
1980	突尼斯	107
1980	摩洛哥	120
1980	尼日利亚	1100
1980	埃塞俄比亚	51
1980	埃及	1330
1980	坦桑尼亚	83
1980	喀麦隆	43
1980	南非	2925
1980	加纳	95
1980	乌干达	62
1981	阿尔及利亚	126
1981	肯尼亚	412
1981	突尼斯	134
1981	摩洛哥	108
1981	尼日利亚	1196
1981	埃塞俄比亚	58
1981	埃及	1457
1981	坦桑尼亚	96
1981	喀麦隆	43
1981	南非	3034
1981	加纳	84
1981	乌干达	37
1982	阿尔及利亚	127
1982	肯尼亚	397
1982	突尼斯	123
1982	摩洛哥	128
1982	尼日利亚	1252
1982	埃塞俄比亚	132
1982	埃及	1533
1982	坦桑尼亚	123
1982	喀麦隆	34
1982	南非	3347
1982	加纳	82
1982	乌干达	39
1983	阿尔及利亚	148
1983	肯尼亚	403
1983	突尼斯	144
1983	摩洛哥	108
1983	尼日利亚	1235
1983	埃塞俄比亚	111
1983	埃及	1562
1983	坦桑尼亚	120
1983	喀麦隆	45
1983	南非	3384
1983	加纳	61
1983	乌干达	36
1984	阿尔及利亚	163
1984	肯尼亚	456
1984	突尼斯	146
1984	摩洛哥	150
1984	尼日利亚	1286
1984	埃塞俄比亚	105
1984	埃及	1516
1984	坦桑尼亚	111
1984	喀麦隆	29
1984	南非	3516
1984	加纳	67
1984	乌干达	27
1985	阿尔及利亚	157
1985	肯尼亚	362
1985	突尼斯	172
1985	摩洛哥	157
1985	尼日利亚	1173
1985	埃塞俄比亚	78
1985	埃及	1465
1985	坦桑尼亚	120
1985	喀麦隆	37
1985	南非	3822
1985	加纳	77
1986	阿尔及利亚	163
1986	肯尼亚	373
1986	突尼斯	197
1986	摩洛哥	150
1986	尼日利亚	1235
1986	埃塞俄比亚	91
1986	埃及	1576
1986	坦桑尼亚	120
1986	喀麦隆	54
1986	南非	4215
1986	加纳	51
1986	乌干达	15
1987	阿尔及利亚	162
1987	肯尼亚	421
1987	突尼斯	215
1987	摩洛哥	175
1987	尼日利亚	1168
1987	埃塞俄比亚	132
1987	埃及	1674
1987	坦桑尼亚	107
1987	喀麦隆	52
1987	南非	4420
1987	加纳	48
1987	乌干达	41
1988	阿尔及利亚	158
1988	肯尼亚	421
1988	突尼斯	234
1988	摩洛哥	251
1988	尼日利亚	1140
1988	埃塞俄比亚	131
1988	埃及	1718
1988	坦桑尼亚	102
1988	喀麦隆	62
1988	南非	4301
1988	加纳	62
1988	乌干达	32
1989	阿尔及利亚	149
1989	肯尼亚	432
1989	突尼斯	265
1989	摩洛哥	231
1989	尼日利亚	1097
1989	埃塞俄比亚	109
1989	埃及	1844
1989	坦桑尼亚	129
1989	喀麦隆	94
1989	南非	3748
1989	加纳	64
1989	乌干达	25
1990	阿尔及利亚	180
1990	肯尼亚	455
1990	突尼斯	281
1990	摩洛哥	249
1990	尼日利亚	1099
1990	埃塞俄比亚	152
1990	埃及	1851
1990	坦桑尼亚	145
1990	喀麦隆	113
1990	南非	3599
1990	加纳	64
1990	乌干达	53
1991	阿尔及利亚	212
1991	肯尼亚	494
1991	突尼斯	318
1991	摩洛哥	361
1991	尼日利亚	992
1991	埃塞俄比亚	181
1991	埃及	2063
1991	坦桑尼亚	149
1991	喀麦隆	127
1991	南非	3711
1991	加纳	80
1991	乌干达	51
1992	阿尔及利亚	252
1992	肯尼亚	547
1992	突尼斯	291
1992	摩洛哥	408
1992	尼日利亚	949
1992	埃塞俄比亚	153
1992	埃及	1890
1992	坦桑尼亚	166
1992	喀麦隆	154
1992	南非	3745
1992	加纳	115
1992	乌干达	58
1993	阿尔及利亚	260
1993	肯尼亚	629
1993	突尼斯	334
1993	摩洛哥	443
1993	尼日利亚	941
1993	埃塞俄比亚	208
1993	埃及	2037
1993	坦桑尼亚	186
1993	喀麦隆	167
1993	南非	4012
1993	加纳	110
1993	乌干达	73
1994	阿尔及利亚	306
1994	肯尼亚	599
1994	突尼斯	371
1994	摩洛哥	514
1994	尼日利亚	790
1994	埃塞俄比亚	211
1994	埃及	2383
1994	坦桑尼亚	205
1994	喀麦隆	193
1994	南非	4329
1994	加纳	127
1994	乌干达	93
1995	阿尔及利亚	320
1995	肯尼亚	592
1995	突尼斯	374
1995	摩洛哥	626
1995	尼日利亚	820
1995	埃塞俄比亚	202
1995	埃及	2414
1995	坦桑尼亚	232
1995	喀麦隆	168
1995	南非	4479
1995	加纳	129
1995	乌干达	93
1996	阿尔及利亚	372
1996	肯尼亚	599
1996	突尼斯	370
1996	摩洛哥	680
1996	尼日利亚	799
1996	埃塞俄比亚	219
1996	埃及	2621
1996	坦桑尼亚	242
1996	喀麦隆	161
1996	南非	4351
1996	加纳	156
1996	乌干达	120
1997	阿尔及利亚	385
1997	肯尼亚	606
1997	突尼斯	528
1997	摩洛哥	838
1997	尼日利亚	836
1997	埃塞俄比亚	238
1997	埃及	2477
1997	坦桑尼亚	268
1997	喀麦隆	199
1997	南非	4515
1997	加纳	186
1997	乌干达	132
1998	阿尔及利亚	424
1998	肯尼亚	590
1998	突尼斯	537
1998	摩洛哥	976
1998	尼日利亚	798
1998	埃塞俄比亚	210
1998	埃及	2595
1998	坦桑尼亚	224
1998	喀麦隆	195
1998	南非	4616
1998	加纳	168
1998	乌干达	161
1999	阿尔及利亚	466
1999	肯尼亚	616
1999	突尼斯	650
1999	摩洛哥	1085
1999	尼日利亚	831
1999	埃塞俄比亚	262
1999	埃及	2592
1999	坦桑尼亚	224
1999	喀麦隆	186
1999	南非	4619
1999	加纳	179
1999	乌干达	184
2000	阿尔及利亚	505
2000	肯尼亚	568
2000	突尼斯	692
2000	摩洛哥	1186
2000	尼日利亚	845
2000	埃塞俄比亚	238
2000	埃及	2871
2000	坦桑尼亚	239
2000	喀麦隆	205
2000	南非	4537
2000	加纳	187
2000	乌干达	180
2001	阿尔及利亚	548
2001	肯尼亚	587
2001	突尼斯	802
2001	摩洛哥	1202
2001	尼日利亚	723
2001	埃塞俄比亚	225
2001	埃及	2997
2001	坦桑尼亚	229
2001	喀麦隆	209
2001	南非	4615
2001	加纳	182
2001	乌干达	192
2002	阿尔及利亚	620
2002	肯尼亚	648
2002	突尼斯	921
2002	摩洛哥	1220
2002	尼日利亚	872
2002	埃塞俄比亚	274
2002	埃及	3220
2002	坦桑尼亚	258
2002	喀麦隆	256
2002	南非	4993
2002	加纳	196
2002	乌干达	175
2003	阿尔及利亚	752
2003	肯尼亚	697
2003	突尼斯	1073
2003	摩洛哥	1115
2003	尼日利亚	895
2003	埃塞俄比亚	289
2003	埃及	3597
2003	坦桑尼亚	325
2003	喀麦隆	301
2003	南非	4768
2003	加纳	203
2003	乌干达	248
2004	阿尔及利亚	966
2004	肯尼亚	663
2004	突尼斯	1393
2004	摩洛哥	1129
2004	尼日利亚	993
2004	埃塞俄比亚	308
2004	埃及	3541
2004	坦桑尼亚	317
2004	喀麦隆	333
2004	南非	5242
2004	加纳	216
2004	乌干达	299
2005	阿尔及利亚	999
2005	肯尼亚	814
2005	突尼斯	1565
2005	摩洛哥	1146
2005	尼日利亚	1333
2005	埃塞俄比亚	325
2005	埃及	3600
2005	坦桑尼亚	473
2005	喀麦隆	453
2005	南非	5549
2005	加纳	321
2005	乌干达	347
2006	阿尔及利亚	1312
2006	肯尼亚	880
2006	突尼斯	2058
2006	摩洛哥	1316
2006	尼日利亚	1488
